Quote on 1/12/16 15:53:16

NYSE
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
RBSpG,25.00,N/A,"instrument=RBSpG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.16%,"169,768",+.04,24.99,25.00,2,11,25.04,25.04,24.91,25.28,22.00,0,RBS CAPITAL FUNDING TRUST VII PFD 6.08%
RBSpI,25.32,N/A,"instrument=RBSpI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.12%,"2,040",+.03,25.30,25.32,1,23,25.22,25.32,25.201,25.52,24.05,0,RBS CAPITAL FUNDING TRST VI PREF 6.25%
RCAP,.0179,Downtrend,"instrument=RCAP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-22.17%,"3,636,231",-.0051,.0180,.0190,"10,000","20,000",.02275,.0230,.0160,12.3400,.0200,"91,946,903",RCS CAPITAL COM
RCI,34.48,Range Bound,"instrument=RCI
trend=[null, RED, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.06%,"362,293",+.36,31.53,35.00,3,27,34.34,34.63,33.80,41.38,32.67,"514,746,670",ROGERS COMMUNICATIONS COM CL B
RCL,94.02,Range Bound,"instrument=RCL
trend=[RED, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED, GREEN]
headPointer=6
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.45%,"2,019,319",+.42,92.64,96.25,2,2,94.50,95.65,92.98,103.40,65.91,"219,995,390",ROYAL CARIBBEAN CRUISES LTD COM
RCS,8.85,N/A,"instrument=RCS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"97,625",0,8.25,9.53,5,1,8.90,8.96,8.79,10.20,6.01,"34,186,000",PIMCO STRATEGIC INCOME FD INC COM
RDC,13.49,Downtrend,"instrument=RDC
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.68%,"3,602,334",-.23,13.37,14.13,1,1,13.94,14.10,13.01,25.13,13.33,"124,813,549",ROWAN COMPANIES PLC ORD
RDN,11.37,Downtrend,"instrument=RDN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.89%,"3,881,193",-.46,11.30,11.38,3,4,11.93,11.94,11.245,19.13,11.635,"206,871,770",RADIAN GROUP INC COM
RDS/A,39.93,Range Bound,"instrument=RDS/A
trend=[RED, GREEN, RED_OVER_GREEN, RED, GREEN, GREEN, RED, GREEN_OVER_RED, RED_OVER_GREEN, RED]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.27%,"5,331,940",-.11,39.36,39.93,4,5,40.39,40.485,39.144,67.158,39.72,"3,191,145,800",ROYAL DUTCH SHELL PLC ADR CLASS A
RDY,43.52,Range Bound,"instrument=RDY
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.73%,"491,176",+.74,42.54,44.46,1,1,43.25,43.99,43.11,68.00,42.48,"170,588,520",DOCTOR REDDY'S LABS LTD ADR
RE,175.66,Range Bound,"instrument=RE
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.01%,"330,235",+.01,166.85,184.74,1,1,177.56,177.56,173.82,193.98,165.53,"43,082,394",EVEREST REINSURANCE HLDGS INC COM
REG,68.09,Range Bound,"instrument=REG
trend=[GREEN, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN]
headPointer=7
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.50%,"800,276",-.34,66.22,70.75,3,3,69.10,69.35,67.74,70.80,55.79,"94,162,229",REGENCY CENTERS CORP COM
REGpF,26.00,N/A,"instrument=REGpF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.81%,"19,512",+.21,25.42,26.20,0,15,25.93,26.1899,25.56,27.70,25.20,0,REGENCY CENTERS CORP SER 6 PERP/CALL 6.625% 2/16/17
REGpG,25.0101,N/A,"instrument=REGpG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.15%,"9,039",-.2898,25.01,25.29,1,3,25.16,25.229,24.95,26.03,23.92,0,REGENCY CENTERS CORP PFD 6%  SER 7 8/23/17
REN,.7200,Downtrend,"instrument=REN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.83%,"1,255,133",-.0134,.6923,.8900,0,16,.7301,.7700,.6322,1.8000,.2479,"77,499,466",RESOLUTE ENERGY CORP COM
RENN,3.22,Range Bound,"instrument=RENN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.83%,"409,731",-.06,3.20,3.30,3,3,3.28,3.30,3.20,4.45,2.35,"341,809,810",RENREN INC COM
RES,10.93,Range Bound,"instrument=RES
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.90%,"3,672,906",+.41,10.09,12.83,5,1,10.92,11.00,10.23,16.66,8.45,"217,006,180",RPC INC COM
RESI,11.44,Downtrend,"instrument=RESI
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-3.46%,"619,455",-.41,9.50,12.47,3,3,12.00,12.0825,11.23,22.59,11.54,"55,990,853",ALTISOURCE RESIDENTIAL CORP COM
REV,26.08,Range Bound,"instrument=REV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.72%,"60,615",+.44,21.62,30.55,1,1,25.84,26.43,25.52,41.67,25.02,"52,440,580",REVLON INC COM
REX,49.38,N/A,"instrument=REX
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.63%,"127,665",-.82,45.17,53.58,1,1,50.49,50.98,48.39,67.99,43.50,"6,858,002",REX AMERICAN RESOURCES CORP COM
